ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010242054;moulage;;;"AOmg 228";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010246580;scorie;;;"RS 59";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010359336;vase;;"-1400 / -1200  (Bronze récent II)";"AO 17208 BIS";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010369586;vase;;"-1550 / -1150  (Bronze récent)";"AO 30746";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443586;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 14";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443588;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 16";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443589;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 17";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443594;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 22";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443598;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 26";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443607;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 35";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443610;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 38";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443611;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 39";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010443612;"trésor ; plaquette ; diadème ; ex-voto";;;"AO 17598 40";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010452706;"vase ; trésor de fondeur";;;"AO 17481 3; RS 6.193";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010452707;"bague ; trésor de fondeur";;;"AO 17481 4; RS 6.193";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010459156;tablette;;"-1550 / -1150  (Bronze récent)";"AO 19998 B; RS 1-11.[021]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010459157;tablette;;"-1550 / -1150  (Bronze récent)";"AO 19998 D; RS 1-11.[022]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010459161;tablette;;"-1550 / -1150  (Bronze récent)";"AO 19998 H; RS 1-11.[023]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010119691;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19276; RS 9.274";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010143697;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 18891; RS 6.000";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144048;"scarabée ; cachet";;"-1400 / -1200  (Bronze récent II)";"AO 19287; RS 9.292";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144051;"scarabée ; cachet";;"-1400 / -1200  (Bronze récent II)";"AO 19290; RS 6.017";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144056;"scarabée ; cachet";;"-1400 / -1200  (Bronze récent II)";"AO 19295; RS 9.462 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010152289;"scarabée ; cachet";;;"AO 28031";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?) ; Enkomi (?)";"non exposé";
cl010139567;bracelet;;;"AO 14729";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142077;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 17324; RS 2.[004]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144052;anneau;;;"AO 19291; 9.460";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
