ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010142150;épingle;;"-3300 / -1150  (Bronze)";"AO 17400; RS 6343";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143901;perle;;;"AO 19140; RS 8.524";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144016;vase;;"-1550 / -1150  (Bronze récent)";"AO 19234; RS 9.200";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010151889;tube;;"-1550 / -1150  (Bronze récent)";"AO 27594; RS 81.[4015]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010151890;boîte;;"-1550 / -1150  (Bronze récent)";"AO 27598; RS 81.[4008]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010120078;pendentif;;"-1200 / -1150  (Bronze récent III)";"AO 14803; RS 3.9; MB 1931";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
cl010139606;poignard;;"-3300 / -1150  (Bronze)";"AO 14767; RS 3.82";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142099;fibule;;"-3300 / -1150  (Bronze)";"AO 17346; RS 6.235";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142116;"bijou ; pendentif";;;"AO 17363; RS 6091";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142134;"pointe de flèche";;"-3300 / -1150  (Bronze)";"AO 17382";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153836;épingle;;"-3300 / -1150  (Bronze)";"AO 29440";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136346;lance;;"-3300 / -1150  (Bronze)";"AO 11627";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136355;faucille;;;"AO 11635";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136407;spatule;;;"AO 11685";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139704;collier;;"-1300 / -1200  (Bronze récent II)";"AO 14845";"Département des Antiquités orientales";"Place of discovery : Minet el Beida ; Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010142093;hache;;"-3300 / -1150  (Bronze)";"AO 17340";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144161;figurine;;"-1900 / -1600  (1e moitié IIe mill av. J.-C.)";"AO 19397; RS 9.277";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit ; Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010136331;herminette;;"-3300 / -1150  (Bronze)";"AO 11613";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136335;houe;;"-3300 / -1150  (Bronze)";"AO 11617";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010137861;vase;;"-1400 / -1200  (Bronze récent II)";"AO 13140";"Département des Antiquités orientales";"Place of creation : Chypre / Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010137885;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 13163; RS 2.[046]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139559;pendentif;;;"AO 14719; RS 3.395";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140531;lance;;"-3300 / -1150  (Bronze)";"AO 15762";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142118;"perle ; chaton de bague ; scarabée";;"-333 / -300  (Hellénistique)";"AO 17365; RS 6.143";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142179;couteau;;"-539 / -330  (Fer IV)";"AO 17431; RS 6.237";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010143883;"bague ; bague cachet";;;"AO 19121; RS 8364";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143909;aiguille;;"-3300 / -1150  (Bronze)";"AO 19148";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010119665;poids;;"-1400 / -1200  (Bronze récent II)";"AO 15765; RS 4.439";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010139734;vase;;"-1400 / -1200  (Bronze récent II)";"AO 14903";"Département des Antiquités orientales";"Place of creation : Chypre / Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010139782;vase;;;"AO 14939";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142087;poignard;;"-3300 / -1150  (Bronze)";"AO 17334";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142138;figurine;;"-2000 / -1700  (Bronze moyen II)";"AO 17386; RS 6.122";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010142148;hache;;;"AO 17399; RS 6.141";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143879;pion;;"-1550 / -1150  (Bronze récent)";"AO 19119; RS 8.308 A-B";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143892;anneau;;"-1400 / -1200  (Bronze récent II)";"AO 19132; RS 8.287";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143896;pendentif;;"-1400 / -1200  (Bronze récent II)";"AO 19136; RS 8.394";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143918;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19156; RS 8.318";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143933;vase;;"-1400 / -1200  (Bronze récent II)";"AO 19244; RS 9.388";"Département des Antiquités orientales";"Place of creation : Chypre / Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010139729;"vase miniature";;;"AO 14899";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142006;figurine;;;"AO 17238; RS 5.039";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010142229;"bague ; cachet";;;"AO 17480; RS 6153";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143311;vase;;"-1400 / -1200  (Mycénien)";"AO 18534; RS 7.090 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 16 Céramique d'importation";
cl010143891;bijou;;;"AO 19131; RS 8398";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010149734;feuille;;;"AO 25057";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144173;figurine;;;"AO 19407; RS 9.418";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit ; Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010136332;herminette;;"-1550 / -1150  (Bronze récent)";"AO 11614";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136334;houe;;"-1550 / -1150  (Bronze récent)";"AO 11616";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136340;hache;;"-1550 / -1150  (Bronze récent)";"AO 11621";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136341;hache;;"-1550 / -1150  (Bronze récent)";"AO 11622";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136352;ciseau;;"-1550 / -1150  (Bronze récent)";"AO 11632";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136353;ciseau;;"-1550 / -1150  (Bronze récent)";"AO 11633";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136359;ciseau;;"-1550 / -1150  (Bronze récent)";"AO 11638";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136362;poignard;;"-3300 / -1150  (Bronze)";"AO 11640";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136408;spatule;;;"AO 11686";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136727;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 12004; RS 1.012";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142178;vase;;;"AO 17430; RS 6.329";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010120100;"figurine ; modèle";;"-1200 / -1150  (Bronze récent III)";"AO 18522; AO 11719; AO 11721; RS 7.090";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 7 Ras-Shamra : les objets de luxe";
cl010136324;épée;;"-1550 / -1150  (Bronze récent)";"AO 11607";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136325;épée;;"-1550 / -1150  (Bronze récent)";"AO 11608";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136337;hache;;"-1550 / -1150  (Bronze récent)";"AO 11619";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136345;lance;;"-1550 / -1150  (Bronze récent)";"AO 11626";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136351;gouge;;"-1550 / -1150  (Bronze récent)";"AO 11631";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010137801;figurine;;"-1550 / -1150  (Bronze récent)";"AO 13104";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010142089;poignard;;"-3300 / -1150  (Bronze)";"AO 17336; RS 6.118";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142112;perle;;;"AO 17359; RS 6.253";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136323;trépied;;"-1550 / -1150  (Bronze récent)";"AO 11606";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136326;poignard;;"-1300 / -1150  (Bronze récent)";"AO 11609";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136339;hache;;"-1550 / -1150  (Bronze récent)";"AO 11620";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136342;"lame ; lame de poignard";;"-1550 / -1150  (Bronze récent)";"AO 11623";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136343;lance;;"-1550 / -1150  (Bronze récent)";"AO 11624";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136347;lance;;"-1550 / -1150  (Bronze récent)";"AO 11628";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136350;"pointe de flèche";;"-1550 / -1150  (Bronze récent)";"AO 11630";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136354;faucille;;"-1550 / -1150  (Bronze récent)";"AO 11634";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136358;gouge;;"-1550 / -1150  (Bronze récent)";"AO 11637";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136366;poignard;;"-3300 / -1150  (Bronze)";"AO 11644";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136720;tablette;;"-1400 / -1200  (Bronze récent II)";"AO 11999; RS 1.027";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142151;"collier ; perle";;;"AO 17401; RS 6253";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142124;hache;;;"AO 17372";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010153869;hache;;;"AO 29470";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?) ; Syrie et Liban";"non exposé";
cl010144094;épingle;;"-3300 / -1150  (Bronze)";"AO 19331";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010139727;vase;;;"AO 14897";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140496;hache;;"-3300 / -1150  (Bronze)";"AO 15718; RS 4.479";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142222;"sceau cylindre";;"-1600 / -1300  (Mitannien)";"AO 17473; RS 6.361";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010144062;pendeloque;;"-1550 / -1150  (Bronze récent)";"AO 19300; RS 9.70";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010144172;figurine;;"-1550 / -1150  (Bronze récent)";"AO 19406; RS 9.295";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010150740;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 26335; RS 2.[048]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010152203;"sceau cylindre";;"-1894 / -1200  (Bronze récent II ; 1ère dynastie de Babylone)";"AO 27927; RS [Varia 2]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010143292;figurine;;;"AO 18511; RS 7.160";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010140504;figurine;;;"AO 15733; RS 4.460";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010139779;vase;;;"AO 14936";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142170;"bague ; cachet";;;"AO 17422; RS 6382";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143958;"sceau cylindre";;"-1550 / -1150  (Bronze récent)";"AO 19171; RS 8.158";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136330;herminette;;"-1400 / -1200  (Bronze récent II)";"AO 11612; RS 1.[053]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010136333;"houe ; herminette";;"-1400 / -1200  (Bronze récent II)";"AO 11615; RS 1.[055]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 9 Dépôt : la maison du Grand Prêtre";
cl010142084;figurine;;"-1550 / -1150  (Bronze récent)";"AO 17331";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010143888;pendentif;;;"AO 19129; RS 8.400";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010120104;"figurine ; vase";;"-1200 / -1150  (Bronze récent III)";"AO 26423; G 51; RS 5";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010139631;musique;;"-1550 / -1150  (Bronze récent)";"AO 14797; RS 3.456";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010136329;herminette;;"-1400 / -1200  (Bronze récent II)";"AO 11611; RS 1.[052]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 5 Inscriptions alphabétiques";
cl010140491;épée;;"-1550 / -1150  (Bronze récent)";"AO 15713; RS 4417";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 10 Métal";
cl010141997;figurine;;;"AO 17228; RS 5.250";"Département des Antiquités orientales";"Place of discovery : Ras Shamra acropole ; Ras Shamra = Ugarit";"non exposé";
cl010142094;lance;;"-3300 / -1150  (Bronze)";"AO 17341";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010429439;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19284; RS 9.264";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010151887;plaque;;"-1550 / -1150  (Bronze récent)";"AO 27592; RS 6.88";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142158;"manche d'outil";;"-1550 / -1150  (Bronze récent)";"AO 17408; RS 6.260";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010151886;plaquette;;"-1550 / -1150  (Bronze récent)";"AO 27591; RS 6.88";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010137515;"placage de meuble";;"-1550 / -1150  (Bronze récent)";"AO 13130; RS 2.[053]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010143296;figurine;;;"AO 18515; RS 7180; RS 7.180";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010151882;peigne;;"-1550 / -1150  (Bronze récent)";"AO 27587; RS 81.[4001]";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit (?)";"non exposé";
cl010151685;"pommeau ; pied de meuble ; coffret";;"-1550 / -1150  (Bronze récent)";"AO 27595; RS 6.306; AO 17374";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010119688;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19273; RS 9.174";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 17 Administration";
cl010119698;poids;;"-1400 / -1200  (Bronze récent II)";"AO 19283; RS 9.070 A";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148853;pendentif;;;"AO 24001";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148858;pendentif;;;"AO 24006";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148860;pendentif;;;"AO 24008";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148861;pendentif;;;"AO 24009";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010144639;figurine;;"-1400 / -1200  (Bronze récent II)";"AO 19930; RS 9.283; AO 19402";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 6 Techniques : matières vitreuses et animales";
cl010148852;pendentif;;;"AO 24000";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148855;pendentif;;;"AO 24003";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148857;pendentif;;;"AO 24005";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010148859;pendentif;;;"AO 24007";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148850;pendentif;;;"AO 23999; RS 9454";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 8 Ras Shamra-Ougarit : images divines en bronze et en orfèvrerie";
cl010148854;pendentif;;;"AO 24002";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010148856;pendentif;;;"AO 24004";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010450960;"objet indéterminé";;;"Kh 84";"Département des Antiquités orientales";;"non exposé";
cl010142345;"plaquette ; tête";;"-1550 / -1150  (Bronze récent)";"AO 17597; RS 5.130";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"non exposé";
cl010142002;figurine;;"-1560 / -1069  (Nouvel Empire)";"AO 17233; RS 5.169";"Département des Antiquités orientales";"Place of discovery : Ras Shamra = Ugarit";"Sully, [AO] Salle 301 - Levant - Syrie côtière, Ougarit et Byblos, des origines à l'âge du fer, Vitrine 14 Relations internationales";
