isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_05486	KTU 1.139; KTU2 1.139; CTU 1.139; CAT 1.139; RS 24.300; DO 6631	A list of sacrifices	List (sacrifices)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01254	KTU 1.14; CTA 14; CAT 1.14; KTU2 1.14; CTU 1.14; RS 2.[003]; RS 3.324; RS 3.344; RS 3.414	Keret Legend First Tablet	The story recounts the loss and restoration of Kirta/Keret's family, and the consequences of his unfulfilled vow to Athirat	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06168	KTU 1.140, KTU2 1.140, KTU3 1.140, CTU 1.140, CAT 1.140	Omen (shumma izbu)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06169	KTU 1.141, KTU2 1.141, KTU3 1.141, CTU 1.141, CAT 1.141	Omen (liver)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05487	KTU 1.142; KTU2 1.142; CTU 1.142; CAT 1.142; RS 24.323; DO 6652	A Liver Model	Omen (liver)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05488	KTU 1.143; KTU2 1.143; CTU 1.143; CAT 1.143; RS 24.326; DO 6655	A Liver Model	Omen (liver)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05489	KTU 1.144; KTU2 1.144; CTU 1.144; CAT 1.144; RS 24.327; DO 6656	A Liver Model	Omen (liver)	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06170	KTU 1.146, KTU2 1.146, KTU3 1.146, CTU 1.146, CAT 1.146	Ritual?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06171	KTU 1.147, KTU2 1.147, KTU3 1.147, CTU 1.147, CAT 1.147	Myth? Ritual?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05490	KTU 1.148; KTU2 1.148; CTU 1.148; CAT 1.148; RS 24.643; DO 6660	Compendium of Ritual Lists Text has diverse elements		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06172	KTU 1.149, KTU2 1.149, KTU3 1.149, CTU 1.149, CAT 1.149	Religious		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01255	KTU 1.15; CTA 15; CAT 1.15; KTU2 1.15; CTU 1.15; RS 3.343; RS 3.345	Keret Legend Second Tablet	The story recounts the loss and restoration of Kirta/Keret's family, and the consequences of his unfulfilled vow to Athirat	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06173	KTU 1.151, KTU2 1.151, KTU3 1.151, CTU 1.151, CAT 1.151	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06174	KTU 1.152, KTU2 1.152, KTU3 1.152, CTU 1.152, CAT 1.152	Myth; scribal exercise		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06175	KTU 1.153, KTU2 1.153, KTU3 1.153, CTU 1.153, CAT 1.153	Ritual?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06176	KTU 1.154, KTU2 1.154, KTU3 1.154, CTU 1.154, CAT 1.154	Content uncertain		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06177	KTU 1.155, KTU2 1.155, KTU3 1.155, CTU 1.155, CAT 1.155	Omen (liver)		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06178	KTU 1.156, KTU2 1.156, KTU3 1.156, CTU 1.156, CAT 1.156	Ritual?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06179	KTU 1.157, KTU2 1.157, KTU3 1.157, CTU 1.157, CAT 1.157	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06180	KTU 1.158, KTU2 1.158, KTU3 1.158, CTU 1.158, CAT 1.158	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06181	KTU 1.159, KTU2 1.159, KTU3 1.159, CTU 1.159, CAT 1.159	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_00285	KTU 1.16; CAT 1.16; KTU2 1.16; CTU 1.16; CTA 16; RS 3.325,3.342,3.408	Kirta Legend	The story recounts the loss and restoration of Kirta/Keret's family, and the consequences of his unfulfilled vow to Athirat	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06182	KTU 1.160, KTU2 1.160, KTU3 1.160, CTU 1.160, CAT 1.160	Myth?		Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01281	KTU 1.161; CAT 1.161; KTU2 1.161; CTU 1.161; RS 34.126	Royal Funerary Text	Kispum-ritual or funeral litergy for king of Ugarit	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_05491	KTU 1.169; KTU2 1.169; CTU 1.169; CAT 1.169; RIH 78/20	An Incantation for the Exorcism of a Possessed Adolescent	Incantation Story recounting the birth and death of Dan'el's son Aqhat. Story recounting the birth and death of Dan'el's son Aqhat.	Ugaritic Texts	Literary and Religious Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01257	KTU 1.17; CTA 17; CAT 1.17; KTU2 1.17; CTU 1.17; RS 2.[004]	Aqhat Legend First Tablet		Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01222	KTU 1.18; CTA 18; RS 3.340; CAT 1.18; KTU2 1.18; CTU 1.18	Aqhat Legend		Ugaritic Texts	Literary and Religious Texts	British Museum, London, England
ISF_TXT_01258	KTU 1.19; CTA 19; RS 3.322; CAT 1.19; KTU2 1.19; CTU 1.19; RS 3.349; RS 3.366	Aqhat Legend Third Tablet	Story recounting the birth and death of Dan'el's son Aqhat.	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01242	KTU 1.2; CTA 2; CAT 1.2; KTU2 1.2; CTU 1.2; RS 3.367; RS 3.346	Baal Myth Second Tablet	Kothar instructed by El to build palace for Yam	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01259	KTU 1.20; CTA 20; CAT 1.20; KTU2 1.20; CTU 1.20; RS 3.348	Rapiuma Legend	El's banquet for the Rapiuma, includes character of Dan'el	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01260	KTU 1.21; CTA 21; CAT 1.21; KTU2 1.21; CTU 1.21; RS 2.[019]; RS 5.155	Rapiuma Legend	"El's banquet for the Rapiuma Ugaritic Texts El's banquet for the Rapiuma, mentions warriors of Baal and Anat Ritual and myth concerning sexual activity of El, offspring with ravenous appetites Betrothal of the West Semitic moon god Yarikh with the Mesopotamian moon goddes Nikkal-Ib; second part concerns human bride ""prbkhth"""		Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01261	KTU 1.22; CTA 22; CAT 1.22; KTU2 1.22; CTU 1.22; RS 2.[024]	Rapiuma Legend		Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01262	KTU 1.23; CTA 23; CAT 1.23; KTU2 1.23; CTU 1.23; RS 2.002	Shachar and Shalim and the Gracious Gods		Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01263	KTU 1.24; CTA 24; CAT 1.24; KTU2 1.24; CTU 1.24; RS 5.194	Nikkal and the Kotharat		Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01443	KTU 1.25; KTU2 1.25; CTU 1.25; CAT 1.25; RS 5.259; A 2716; CTA 25; M 3336; AO 17.297	Fragment; part of Baal myth (?)	myth?	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_01444	KTU 1.26; KTU2 1.26; CTU 1.26; CAT 1.26; RS 1- 11.[048]; AO 25.167; CTA 173	List of sacrifices in Hurrian	sacrifice list	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01445	KTU 1.27; KTU2 1.27; CTU 1.27; CAT 1.27; RS 2.[010]; RS 1.[064]; AO 17.322; CTA 40	List of offerings (fragmentary)	offering list	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01446	KTU 1.28; KTU2 1.28; CTU 1.28; CAT 1.28; RS 1- 11.[021]; AO 19.998B; CTA 46B	List of offerings (fragmentary)	offering list, ritual	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01447	KTU 1.29; KTU2 1.29; CTU 1.29; CAT 1.29; RS 1- 11.[023]; AO 19.998H; CTA 46C	Fragmentary text	offering list, ritual	Ugaritic Texts	Literary and Religious Texts	Louvre Museum, Paris, France
ISF_TXT_01243	KTU 1.3; CTA 3; CAT 1.3; KTU2 1.3; CTU 1.3; RS 3.363; RS 2.[014]	Baal Myth Third Tablet	Intercession by Anat for palace for Baal from El	Ugaritic Texts	Literary and Religious Texts	Archaeological Museum, Aleppo, Syria
