isf_assigned_text_number	text_or_publication_number_note	text_descriptive_title	text_description	is_part_of_corpus1	category	location_of_original
ISF_TXT_06615	KTU 4.459, KTU2 4.459, KTU3 4.459, CTU 4.459, CAT 4.459	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06265	KTU 4.46, CTA 97, KTU2 4.46, KTU3 4.46, CTU 4.46, CAT 4.46	List (persons receiving[?] wool)		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_06616	KTU 4.460, KTU2 4.460, KTU3 4.460, CTU 4.460, CAT 4.460	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06617	KTU 4.461, KTU2 4.461, KTU3 4.461, CTU 4.461, CAT 4.461	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06618	KTU 4.462, KTU2 4.462, KTU3 4.462, CTU 4.462, CAT 4.462	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06619	KTU 4.463, KTU2 4.463, KTU3 4.463, CTU 4.463, CAT 4.463	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06620	KTU 4.464, KTU2 4.464, KTU3 4.464, CTU 4.464, CAT 4.464	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06621	KTU 4.465, KTU2 4.465, KTU3 4.465, CTU 4.465, CAT 4.465	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06622	KTU 4.466, KTU2 4.466, KTU3 4.466, CTU 4.466, CAT 4.466	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06623	KTU 4.467, KTU2 4.467, KTU3 4.467, CTU 4.467, CAT 4.467	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06624	KTU 4.468, KTU2 4.468, KTU3 4.468, CTU 4.468, CAT 4.468	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06625	KTU 4.469, KTU2 4.469, KTU3 4.469, CTU 4.469, CAT 4.469	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01499	KTU 4.47; KTU2 4.47; CTU 4.47; CAT 4.47; RS 10.043; A 2793; CTA 73; M 3370	list of artisans with numbers	list of artisans	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06626	KTU 4.470, KTU2 4.470, KTU3 4.470, CTU 4.470, CAT 4.470	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06627	KTU 4.471, KTU2 4.471, KTU3 4.471, CTU 4.471, CAT 4.471	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06628	KTU 4.472, KTU2 4.472, KTU3 4.472, CTU 4.472, CAT 4.472	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06629	KTU 4.473, KTU2 4.473, KTU3 4.473, CTU 4.473, CAT 4.473	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06630	KTU 4.474, KTU2 4.474, KTU3 4.474, CTU 4.474, CAT 4.474	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06631	KTU 4.475, KTU2 4.475, KTU3 4.475, CTU 4.475, CAT 4.475	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06632	KTU 4.476, KTU2 4.476, KTU3 4.476, CTU 4.476, CAT 4.476	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06633	KTU 4.477, KTU2 4.477, KTU3 4.477, CTU 4.477, CAT 4.477	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06634	KTU 4.478, KTU2 4.478, KTU3 4.478, CTU 4.478, CAT 4.478	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06635	KTU 4.479, KTU2 4.479, KTU3 4.479, CTU 4.479, CAT 4.479	Record(?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01500	KTU 4.48; KTU2 4.48; CTU 4.48; CAT 4.48; RS 10.045; A 2790; CTA 67; M 3413	list of locations with amounts	list of locations	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06636	KTU 4.480, KTU2 4.480, KTU3 4.480, CTU 4.480, CAT 4.480	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06637	KTU 4.481, KTU2 4.481, KTU3 4.481, CTU 4.481, CAT 4.481	List (persons with numbers)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06638	KTU 4.482, KTU2 4.482, KTU3 4.482, CTU 4.482, CAT 4.482	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06639	KTU 4.483, KTU2 4.483, KTU3 4.483, CTU 4.483, CAT 4.483	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06640	KTU 4.484, KTU2 4.484, KTU3 4.484, CTU 4.484, CAT 4.484	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06641	KTU 4.485, KTU2 4.485, KTU3 4.485, CTU 4.485, CAT 4.485	List (persons grouped by trade/profession)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06642	KTU 4.486, KTU2 4.486, KTU3 4.486, CTU 4.486, CAT 4.486	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06643	KTU 4.487, KTU2 4.487, KTU3 4.487, CTU 4.487, CAT 4.487	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06644	KTU 4.488, KTU2 4.488, KTU3 4.488, CTU 4.488, CAT 4.488	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06645	KTU 4.489, KTU2 4.489, KTU3 4.489, CTU 4.489, CAT 4.489	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01501	KTU 4.49; KTU2 4.49; CTU 4.49; CAT 4.49; RS 10.086; A 2789; CTA 69; M 3369	list of locations with amounts	list of locations	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06646	KTU 4.490, KTU2 4.490, KTU3 4.490, CTU 4.490, CAT 4.490	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06647	KTU 4.491, KTU2 4.491, KTU3 4.491, CTU 4.491, CAT 4.491	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06648	KTU 4.492, KTU2 4.492, KTU3 4.492, CTU 4.492, CAT 4.492	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06649	KTU 4.493, KTU2 4.493, KTU3 4.493, CTU 4.493, CAT 4.493	List (persons with their associates)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06650	KTU 4.494, KTU2 4.494, KTU3 4.494, CTU 4.494, CAT 4.494	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06651	KTU 4.495, KTU2 4.495, KTU3 4.495, CTU 4.495, CAT 4.495	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06652	KTU 4.496, KTU2 4.496, KTU3 4.496, CTU 4.496, CAT 4.496	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06653	KTU 4.497, KTU2 4.497, KTU3 4.497, CTU 4.497, CAT 4.497	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06654	KTU 4.498, KTU2 4.498, KTU3 4.498, CTU 4.498, CAT 4.498	List (persons, some of them with their respective heirs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06655	KTU 4.499, KTU2 4.499, KTU3 4.499, CTU 4.499, CAT 4.499	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01502	KTU 4.50; KTU2 4.50; CTU 4.50; CAT 4.50; RS 10.087; A 2818; CTA 93; M 3424	lists of names of townsmen	list of names	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06656	KTU 4.500, KTU2 4.500, KTU3 4.500, CTU 4.500, CAT 4.500	List (persons owning/driving chariots?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06657	KTU 4.501, KTU2 4.501, KTU3 4.501, CTU 4.501, CAT 4.501	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06658	KTU 4.502, KTU2 4.502, KTU3 4.502, CTU 4.502, CAT 4.502	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06659	KTU 4.503, KTU2 4.503, KTU3 4.503, CTU 4.503, CAT 4.503	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06660	KTU 4.504, KTU2 4.504, KTU3 4.504, CTU 4.504, CAT 4.504	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06661	KTU 4.505, KTU2 4.505, KTU3 4.505, CTU 4.505, CAT 4.505	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06662	KTU 4.506, KTU2 4.506, KTU3 4.506, CTU 4.506, CAT 4.506	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06663	KTU 4.507, KTU2 4.507, KTU3 4.507, CTU 4.507, CAT 4.507	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06664	KTU 4.508, KTU2 4.508, KTU3 4.508, CTU 4.508, CAT 4.508	Record		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06665	KTU 4.509, KTU2 4.509, KTU3 4.509, CTU 4.509, CAT 4.509	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01503	KTU 4.51; KTU2 4.51; CTU 4.51; CAT 4.51; RS 10.088; A 2817; CTA 99; M 3423	list of guards by gentilics	list of guards	Ugaritic Texts	Economic Texts	Archaeological Museum, Aleppo, Syria
ISF_TXT_06666	KTU 4.510, KTU2 4.510, KTU3 4.510, CTU 4.510, CAT 4.510	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06667	KTU 4.511, KTU2 4.511, KTU3 4.511, CTU 4.511, CAT 4.511	Content uncertain, PNs		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06668	KTU 4.512, KTU2 4.512, KTU3 4.512, CTU 4.512, CAT 4.512	List (persons, some of them with their respective heirs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06669	KTU 4.513, KTU2 4.513, KTU3 4.513, CTU 4.513, CAT 4.513	List (persons, some of them with their respective heirs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06670	KTU 4.514, KTU2 4.514, KTU3 4.514, CTU 4.514, CAT 4.514	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06671	KTU 4.515, KTU2 4.515, KTU3 4.515, CTU 4.515, CAT 4.515	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06672	KTU 4.516, KTU2 4.516, KTU3 4.516, CTU 4.516, CAT 4.516	Content uncertain		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06673	KTU 4.517, KTU2 4.517, KTU3 4.517, CTU 4.517, CAT 4.517	Record (draught animals?)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06674	KTU 4.518, KTU2 4.518, KTU3 4.518, CTU 4.518, CAT 4.518	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06675	KTU 4.519, KTU2 4.519, KTU3 4.519, CTU 4.519, CAT 4.519	Census		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06676	KTU 4.520, KTU2 4.520, KTU3 4.520, CTU 4.520, CAT 4.520	List (PNs)		Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07327	KTU 4.521; KTU2 4.521; KTU3 4.521; CTU 4.521; CAT 4.521; RS 18.440	Content Uncertain	Ugaritic Tablet KTU 4.521	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07328	KTU 4.522; KTU2 4.522; KTU3 4.522; CTU 4.522; CAT 4.522; RS 18.441	Content Uncertain	Ugaritic Tablet KTU 4.522	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07329	KTU 4.523; KTU2 4.523; KTU3 4.523; CTU 4.523; CAT 4.523; RS 18.442	Record	Ugaritic Tablet KTU 4.523	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07330	KTU 4.524; KTU2 4.524; KTU3 4.524; CTU 4.524; CAT 4.524; RS 18.444	List of PNs	Ugaritic Tablet KTU 4.524	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07331	KTU 4.525; KTU2 4.525; KTU3 4.525; CTU 4.525; CAT 4.525; RS 18.445	Record	Ugaritic Tablet KTU 4.525	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07332	KTU 4.526; KTU2 4.526; KTU3 4.526; CTU 4.526; CAT 4.526; RS 18.446	Content Uncertain, PNs	Ugaritic Tablet KTU 4.526	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07333	KTU 4.527; KTU2 4.527; KTU3 4.527; CTU 4.527; CAT 4.527; RS 18.447	List of persons owning or driving chariots?	Ugaritic Tablet KTU 4.527	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07334	KTU 4.528; KTU2 4.528; KTU3 4.528; CTU 4.528; CAT 4.528; RS 18.448	Content Uncertain, PNs	Ugaritic Tablet KTU 4.528	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07335	KTU 4.529; KTU2 4.529; KTU3 4.529; CTU 4.529; CAT 4.529; RS 18.450	Content Uncertain, PNs	Ugaritic Tablet KTU 4.529	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07336	KTU 4.530; KTU2 4.530; KTU3 4.530; CTU 4.530; CAT 4.530; RS 18.451	Record	Ugaritic Tablet KTU 4.530	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07337	KTU 4.531; KTU2 4.531; KTU3 4.531; CTU 4.531; CAT 4.531; RS 18.452	Record	Ugaritic Tablet KTU 4.531	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07338	KTU 4.532; KTU2 4.532; KTU3 4.532; CTU 4.532; CAT 4.532; RS 18.454	Record of draught animals	Ugaritic Tablet KTU 4.532	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07339	KTU 4.533; KTU2 4.533; KTU3 4.533; CTU 4.533; CAT 4.533; RS 18.455	Content Uncertain	Ugaritic Tablet KTU 4.533	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07340	KTU 4.534; KTU2 4.534; KTU3 4.534; CTU 4.534; CAT 4.534; RS 18.456	Content Uncertain	Ugaritic Tablet KTU 4.534	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07341	KTU 4.535; KTU2 4.535; KTU3 4.535; CTU 4.535; CAT 4.535; RS 18.457	Record of draught animals	Ugaritic Tablet KTU 4.535	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07342	KTU 4.536; KTU2 4.536; KTU3 4.536; CTU 4.536; CAT 4.536; RS 18.458	Record, transfer of land holdings?	Ugaritic Tablet KTU 4.536	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07343	KTU 4.537; KTU2 4.537; KTU3 4.537; CTU 4.537; CAT 4.537; RS 18.459	List of PNs	Ugaritic Tablet KTU 4.537	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07344	KTU 4.538; KTU2 4.538; KTU3 4.538; CTU 4.538; CAT 4.538; RS 18.460	List of PNs	Ugaritic Tablet KTU 4.538	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07345	KTU 4.539; KTU2 4.539; KTU3 4.539; CTU 4.539; CAT 4.539; RS 18.463	List of PNs	Ugaritic Tablet KTU 4.539	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07346	KTU 4.540; KTU2 4.540; KTU3 4.540; CTU 4.540; CAT 4.540; RS 18.464	Record	Ugaritic Tablet KTU 4.540	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07347	KTU 4.541; KTU2 4.541; KTU3 4.541; CTU 4.541; CAT 4.541; RS 18.465	Record	Ugaritic Tablet KTU 4.541	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07348	KTU 4.542; KTU2 4.542; KTU3 4.542; CTU 4.542; CAT 4.542; RS 18.468	List of persons grouped by trade/profession, with numbers	Ugaritic Tablet KTU 4.542	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07349	KTU 4.543; KTU2 4.543; KTU3 4.543; CTU 4.543; CAT 4.543; RS 18.469	List of PNs	Ugaritic Tablet KTU 4.543	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07350	KTU 4.544; KTU2 4.544; KTU3 4.544; CTU 4.544; CAT 4.544; RS 18.470	Record, transfer of land holdings	Ugaritic Tablet KTU 4.544	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07351	KTU 4.545; KTU2 4.545; KTU3 4.545; CTU 4.545; CAT 4.545; RS 18.471	List of PNs	Ugaritic Tablet KTU 4.545	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07352	KTU 4.546; KTU2 4.546; KTU3 4.546; CTU 4.546; CAT 4.546; RS 18.472	Content Uncertain	Ugaritic Tablet KTU 4.546	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07353	KTU 4.547; KTU2 4.547; KTU3 4.547; CTU 4.547; CAT 4.547; RS 18.473	Record, transfer of land holdings	Ugaritic Tablet KTU 4.547	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07354	KTU 4.549; KTU2 4.549; KTU3 4.549; CTU 4.549; CAT 4.549; RS 18.475	Record, trade?	Ugaritic Tablet KTU 4.549	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_06266	KTU 4.55, CTA 131, KTU2 4.55, KTU3 4.55, CTU 4.55, CAT 4.55	List of recipients and amounts received		Ugaritic Texts	Economic Texts	National Museum, Aleppo, Syria
ISF_TXT_07355	KTU 4.550; KTU2 4.550; KTU3 4.550; CTU 4.550; CAT 4.550; RS 18.476	Record, quantities of gold	Ugaritic Tablet KTU 4.550	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07356	KTU 4.551; KTU2 4.551; KTU3 4.551; CTU 4.551; CAT 4.551; RS 18.477	Record, chariots	Ugaritic Tablet KTU 4.551	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07357	KTU 4.552; KTU2 4.552; KTU3 4.552; CTU 4.552; CAT 4.552; RS 18.478	Record	Ugaritic Tablet KTU 4.552	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07358	KTU 4.553; KTU2 4.553; KTU3 4.553; CTU 4.553; CAT 4.553; RS 18.479	List, towns	Ugaritic Tablet KTU 4.553	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07359	KTU 4.554; KTU2 4.554; KTU3 4.554; CTU 4.554; CAT 4.554; RS 18.480	List of PNs	Ugaritic Tablet KTU 4.554	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07360	KTU 4.555; KTU2 4.555; KTU3 4.555; CTU 4.555; CAT 4.555; RS 18.481	Content Uncertain	Ugaritic Tablet KTU 4.555	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07361	KTU 4.556; KTU2 4.556; KTU3 4.556; CTU 4.556; CAT 4.556; RS 18.483	List of PNs?	Ugaritic Tablet KTU 4.556	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07362	KTU 4.557; KTU2 4.557; KTU3 4.557; CTU 4.557; CAT 4.557; RS 18.484	List, persons grouped by place of residence	Ugaritic Tablet KTU 4.557	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07363	KTU 4.558; KTU2 4.558; KTU3 4.558; CTU 4.558; CAT 4.558; RS 18.485	Record	Ugaritic Tablet KTU 4.558	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07364	KTU 4.559; KTU2 4.559; KTU3 4.559; CTU 4.559; CAT 4.559; RS 18.486	List, persons with numbers	Ugaritic Tablet KTU 4.559	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_01504	KTU 4.56; KTU2 4.56; CTU 4.56; CAT 4.56; RS 10.110; AO 19.966; CTA 139	list of items by jarfuls	list of items	Ugaritic Texts	Economic Texts	Louvre Museum, Paris, France
ISF_TXT_07365	KTU 4.560; KTU2 4.560; KTU3 4.560; CTU 4.560; CAT 4.560; RS 18.487	List of PNs	Ugaritic Tablet KTU 4.560	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07366	KTU 4.561; KTU2 4.561; KTU3 4.561; CTU 4.561; CAT 4.561; RS 18.489	List, persons grouped by trade/profession, some of them with their respective heirs	Ugaritic Tablet KTU 4.561	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07367	KTU 4.562; KTU2 4.562; KTU3 4.562; CTU 4.562; CAT 4.562; RS 18.490	Content Uncertain, PNs	Ugaritic Tablet KTU 4.562	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07368	KTU 4.563; KTU2 4.563; KTU3 4.563; CTU 4.563; CAT 4.563; RS 18.492	Content Uncertain, PNs	Ugaritic Tablet KTU 4.563	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07369	KTU 4.564; KTU2 4.564; KTU3 4.564; CTU 4.564; CAT 4.564; RS 18.493	Content Uncertain, PNs	Ugaritic Tablet KTU 4.564	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07370	KTU 4.565; KTU2 4.565; KTU3 4.565; CTU 4.565; CAT 4.565; RS 18.495	List, persons with numbers	Ugaritic Tablet KTU 4.565	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07371	KTU 4.566; KTU2 4.566; KTU3 4.566; CTU 4.566; CAT 4.566; RS 18.496	Content Uncertain	Ugaritic Tablet KTU 4.566	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07372	KTU 4.567; KTU2 4.567; KTU3 4.567; CTU 4.567; CAT 4.567; RS 18.497	List of PNs	Ugaritic Tablet KTU 4.567	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07373	KTU 4.568; KTU2 4.568; KTU3 4.568; CTU 4.568; CAT 4.568; RS 18.498	Content Uncertain	Ugaritic Tablet KTU 4.568	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07374	KTU 4.569; KTU2 4.569; KTU3 4.569; CTU 4.569; CAT 4.569; RS 18.499	Content Uncertain	Ugaritic Tablet KTU 4.569	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07375	KTU 4.570; KTU2 4.570; KTU3 4.570; CTU 4.570; CAT 4.570; RS 18.501	Content Uncertain	Ugaritic Tablet KTU 4.570	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07376	KTU 4.571; KTU2 4.571; KTU3 4.571; CTU 4.571; CAT 4.571; RS 18.504	List, persons with numbers, some of them with their respective heirs	Ugaritic Tablet KTU 4.571	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07377	KTU 4.572; KTU2 4.572; KTU3 4.572; CTU 4.572; CAT 4.572; RS 18.505	Content Uncertain	Ugaritic Tablet KTU 4.572	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07378	KTU 4.573; KTU2 4.573; KTU3 4.573; CTU 4.573; CAT 4.573; RS 18.507	Record, amounts of wine? paid as tax or fine	Ugaritic Tablet KTU 4.573	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07379	KTU 4.574; KTU2 4.574; KTU3 4.574; CTU 4.574; CAT 4.574; RS 18.509	Obverse: List, persons working on a royal farm; reverse: Content uncertain	Ugaritic Tablet KTU 4.574	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07380	KTU 4.575; KTU2 4.575; KTU3 4.575; CTU 4.575; CAT 4.575; RS 18.510	Record	Ugaritic Tablet KTU 4.575	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07381	KTU 4.576; KTU2 4.576; KTU3 4.576; CTU 4.576; CAT 4.576; RS 18.512	Record, draught animals	Ugaritic Tablet KTU 4.576	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07382	KTU 4.577; KTU2 4.577; KTU3 4.577; CTU 4.577; CAT 4.577; RS 18.513	Record, quantities of gold?	Ugaritic Tablet KTU 4.577	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
ISF_TXT_07383	KTU 4.578; KTU2 4.578; KTU3 4.578; CTU 4.578; CAT 4.578; RS 18.514	List, persons with their respective heirs	Ugaritic Tablet KTU 4.578	Ugaritic Texts	Economic Texts	National Archaeological Museum, Damascus, Syria
