name,lon,lat,language,script,area,uuid
RS 20.144K,35.7818956,35.6014227,unknown,unknown,Out of Context,a9a5fbc3-828f-4034-8ce4-c19e813d0f7f
RS 20.144L,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,6c99f061-5248-4706-bb49-d3d713cbabcb
RS 20.144M,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,fe540876-7aca-4efe-8584-7484bc499dc1
RS 20.144V,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,ae4c8865-cdda-46c1-9d60-b36998bafa3c
RS 20.144N,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,0b01ba35-ea9a-45d4-bee9-0b50327083ac
RS 20.144X,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,587f2ef6-e4e3-4642-95d6-b0abda66cf84
RS 20.144S,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,7a4b4f72-ad5c-4dc1-8911-0ead75117fe1
RS 20.144P,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,f81fd7ec-6217-46a6-8270-8fa7853b49f5
RS 20.144Q,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,d3b7340e-c951-4daa-b43c-a089a3e7e723
RS 20.144R,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,a8646e97-6d51-43f1-93e4-a29e0e551a7a
RS 20.144T,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,10cdcd64-8283-43d5-b0e3-3cf9aa7cf529
RS 20.144A+,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,6600bab1-96e2-4e06-959b-59868cbd7d28
RS 20.144I-J,35.7843876,35.6022059,unknown,unknown,Residential Quarter,e071db8a-1766-456c-b5fc-6ef66ee22f77
RS 20.144O,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,563b4896-5e6b-4889-a252-86d66fb243dc
RS 20.144U,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,98172e6f-4152-4279-b585-a084205beacf
RS 20.145,35.7843679,35.6022262,Ugaritic,Alphabetic,Residential Quarter,5b5439a5-fbe3-4673-9703-7eb8569360d3
RS 20.146,35.7843679,35.6022262,Akkadian,Logosyllabic,Residential Quarter,a3246a86-fa9a-456e-aaad-aceb0be8eb45
RS 20.147,35.7843679,35.6022262,Ugaritic,Alphabetic,Residential Quarter,50b64b3a-4730-4c3e-bb5e-12ae3092c3cc
RS 20.148+,35.7843848,35.6022409,Ugaritic; Akkadian,Alphabetic; Logosyllabic,Residential Quarter,e0afbdfa-4c6f-44c8-bd7a-579b727c4d02
RS 20.149,35.784389,35.6022377,Akkadian; Hurrian; Sumerian; Ugaritic,Logosyllabic,Residential Quarter,3f80ba3a-a4e2-4f59-a85a-57feda9db415
RS 20.150,35.784389,35.6022377,Akkadian,Logosyllabic,Residential Quarter,2ea034fa-7d1d-49ef-8a91-b617823632f3
RS 20.151,35.784389,35.6022377,Akkadian,Logosyllabic,Residential Quarter,49ba0c9b-0cb8-488d-9b45-7abdd697526c
RS 20.152,35.784389,35.6022377,unknown,unknown,Residential Quarter,28b094c6-d807-43d5-96bd-1f347c10a333
RS 20.153,35.7843935,35.6022247,Akkadian,Logosyllabic,Residential Quarter,75efd77c-fc62-44ef-8e9b-2cef1cc684f6
RS 20.154,35.7844193,35.6022517,unknown,unknown,Residential Quarter,a970f5a1-69ed-4e29-92f7-9616fd716562
RS 20.154A,35.7844193,35.6022517,unknown,unknown,Residential Quarter,1732897a-4316-40a7-a8e0-be1a660b57c0
RS 20.155,35.7843935,35.6022247,Akkadian,Logosyllabic,Residential Quarter,9f5b756d-c991-46a2-bebe-918150eacdf0
RS 20.156,35.7843685,35.6022119,Akkadian,Logosyllabic,Residential Quarter,68627f64-bc2c-4b71-9379-9fc558684931
RS 20.157,35.7843718,35.6022296,Ugaritic; Akkadian?,Alphabetic; Logosyllabic?,Residential Quarter,f716318f-4a72-455b-9ec9-66b8c2234fc8
RS 20.158+,35.7843506,35.6022235,Akkadian,Logosyllabic,Residential Quarter,adb71218-40e7-4ad3-9173-e6e6ae2a198e
RS 20.159,35.7843506,35.6022235,Akkadian,Logosyllabic,Residential Quarter,5b415b85-c058-489f-8216-8805aadd4e64
RS 20.160C,35.7843876,35.6022059,unknown,unknown,Residential Quarter,26bf8628-5622-4dd6-b20c-71607b00b519
RS 20.160E,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,e3f8f9ab-43a7-4165-b0d0-d52d7264f2cb
RS 20.160F+,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,8e33e610-cc20-4064-bc9a-279a36ecc260
RS 20.160B,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,08a0d61d-3624-4975-9b75-39efa8875874
RS 20.160G+,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,43caee06-954e-4d11-97aa-6c93ba20e128
RS 20.160D,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,258398fe-d990-4f35-a342-26488285b77c
RS 20.160H,35.7843876,35.6022059,unknown,unknown,Residential Quarter,4e64ccb2-c6bf-469c-afe1-94963c253ee7
RS 20.160J,35.7843876,35.6022059,Akkadian,Logosyllabic,Residential Quarter,ecb1b6b5-02f5-4c47-98df-9e0a805f68ec
RS 20.160K,35.7843876,35.6022059,unknown,unknown,Residential Quarter,3fd65384-a8ee-4401-83a6-7b3524a2dedc
